day,ta,tx,tn,slp,h,pp,vv,v,vm,vg,ra,sn,ts,fg
2010-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-04-19,29.8,35.6,23,1006,60,2.03,3.9,4.8,37,NA,TRUE,FALSE,TRUE,FALSE
2010-04-20,30.1,34.7,23,1004.8,62,1.02,4.5,4.8,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-04-21,31.9,37.5,26,1004,58,0,4.3,4.4,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-25,30.3,34.7,23.5,1009.1,59,0,5.3,4.4,18,NA,FALSE,FALSE,FALSE,FALSE
2010-04-26,30.1,37.4,24,1011.3,64,NA,4.7,7.8,21.7,NA,TRUE,FALSE,TRUE,FALSE
2010-04-27,28.7,34,22,1011.4,66,NA,5.3,6.5,14.8,NA,TRUE,FALSE,TRUE,FALSE
2010-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-05-01,27.1,30,24,1009.7,78,2.03,3.7,4.1,7.2,NA,TRUE,FALSE,FALSE,FALSE
2010-05-02,30.4,35.3,24,1007.1,66,0,4.8,4.6,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-05-03,29.6,35,26,1005.4,72,NA,4.7,6.3,18.3,NA,TRUE,FALSE,TRUE,FALSE
2010-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-05-07,32.8,38.5,25,1004.2,60,1.02,5,6.3,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-05-08,33.1,39.1,25,NA,57,2.03,4.8,4.3,18,NA,FALSE,FALSE,FALSE,FALSE
2010-05-09,34.1,38.9,28.3,1001.1,56,0,4.8,5.6,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-05-13,32.3,38.1,26.2,1003.8,59,0,8.2,4.8,14.4,NA,FALSE,FALSE,FALSE,FALSE
2010-05-14,33.8,38.6,27.5,1003.4,56,0,5.3,4.4,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-05-15,32.2,39.5,25,1004.2,59,7.11,5.6,8.9,44.3,NA,TRUE,FALSE,TRUE,FALSE
2010-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-05-19,32,36.1,26,1006.1,63,0,5.8,4.6,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-05-20,32.8,37.4,20.5,1005.6,61,0,5.1,4.1,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-05-21,29.5,34.5,25,1005.7,75,18.03,4.8,5.4,14.8,NA,TRUE,FALSE,TRUE,FALSE
2010-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-05-25,28.5,33.7,25.8,1004.1,80,39.12,4.2,7.2,25.2,NA,TRUE,FALSE,TRUE,FALSE
2010-05-26,27.8,33.4,24.1,1003.6,80,NA,4.5,7.2,14.4,NA,TRUE,FALSE,FALSE,FALSE
2010-05-27,28.7,33.7,23.5,1004.1,77,8.89,5.6,5.2,14.8,NA,TRUE,FALSE,TRUE,FALSE
2010-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-05-31,30.8,35,24.3,1004.7,68,NA,6.8,4.4,7.2,NA,TRUE,FALSE,FALSE,FALSE
2010-06-01,31.9,36,25.5,1003.4,65,0,4.7,4.1,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-06-02,31.3,36,24,NA,66,NA,6.1,8.7,37,NA,TRUE,FALSE,TRUE,FALSE
2010-06-03,28.6,31,25,NA,78,NA,6.3,5.9,11.1,NA,TRUE,FALSE,TRUE,FALSE
2010-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-06-07,29.8,33.5,24.5,1005.7,75,3.05,4.8,6.5,14.4,NA,TRUE,FALSE,TRUE,FALSE
2010-06-08,27.4,31,23.5,1004.8,87,1.02,3.7,4.8,7.6,NA,TRUE,FALSE,TRUE,FALSE
2010-06-09,26.8,29.5,24,1006.4,90,3.05,3.9,4.4,7.2,NA,TRUE,FALSE,FALSE,FALSE
2010-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-06-13,30.1,33,24,NA,75,1.02,9,5.4,11.1,NA,TRUE,FALSE,TRUE,FALSE
2010-06-14,30.6,34.4,26,NA,69,0,9.3,6.7,11.1,NA,FALSE,FALSE,TRUE,FALSE
2010-06-15,30.3,34.5,25.2,1005.5,73,0,9.2,5.2,14.4,NA,FALSE,FALSE,FALSE,FALSE
2010-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-06-19,32.6,37.5,27.7,NA,64,0,8,3.9,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-06-20,32.4,37,25.8,1002.9,63,0,8.7,6.9,18,NA,FALSE,FALSE,TRUE,FALSE
2010-06-21,28.8,33.2,23.5,1003.7,74,26.92,7.7,5.6,18,NA,TRUE,FALSE,TRUE,FALSE
2010-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
